School_name,Latitude,Longitude,Selective_school
Evans River Community School,-29.113492,153.424683,Not Selective
Excelsior Public School,-33.740444,150.990408,Not Selective
Exeter Public School,-34.61612,150.321828,Not Selective
Fairfax Public School,-30.493351,150.131265,Not Selective
Fairfield Public School,-33.866847,150.955409,Not Selective
Fairfield West Public School,-33.868037,150.924762,Not Selective
Fairy Meadow Public School,-34.390469,150.892302,Not Selective
Falls Creek Public School,-34.965439,150.593403,Not Selective
Fassifern Public School,-32.983398,151.582769,Not Selective
Fingal Head Public School,-28.196814,153.565122,Not Selective
Five Dock Public School,-33.866859,151.127318,Not Selective
Lord Howe Island Central School,-31.530072,159.069032,Not Selective
Forbes Public School,-33.387948,148.006385,Not Selective
Forest Hill Public School,-35.147875,147.467,Not Selective
Forest Lodge Public School,-33.882169,151.181597,Not Selective
Forster Public School,-32.18247,152.524246,Not Selective
Fort Street Public School,-33.860427,151.204871,Not Selective
Frederickton Public School,-31.033583,152.879353,Not Selective
Freemans Reach Public School,-33.558697,150.799309,Not Selective
Frenchs Forest Public School,-33.751516,151.224695,Not Selective
Galston Public School,-33.648197,151.04517,Not Selective
Ganmain Public School,-34.796923,147.040034,Not Selective
Garah Public School,-29.077177,149.634928,Not Selective
Gerogery Public School,-35.83213,146.998143,Not Selective
Gerringong Public School,-34.749384,150.821499,Not Selective
Geurie Public School,-32.3961,148.82945,Not Selective
Sandy Hollow Public School,-32.336471,150.569007,Not Selective
Gilgai Public School,-29.852694,151.115555,Not Selective
Gilgandra Public School,-31.707981,148.66464,Not Selective
Gillieston Public School,-32.75232,151.530713,Not Selective
Girilambone Public School,-31.24967,146.908851,Not Selective
Girraween Public School,-33.799711,150.950356,Not Selective
Gladesville Public School,-33.832977,151.125699,Not Selective
Gladstone Public School,-31.026485,152.946508,Not Selective
Windang Public School,-34.531496,150.86597,Not Selective
Glenbrook Public School,-33.765996,150.621286,Not Selective
Glenfield Public School,-33.971005,150.896584,Not Selective
Glenhaven Public School,-33.700792,151.002882,Not Selective
Glen Innes Public School,-29.735142,151.740989,Not Selective
Glenmore Road Public School,-33.881385,151.230233,Not Selective
Glenorie Public School,-33.599444,151.008082,Not Selective
Glenquarry Public School,-34.522335,150.483539,Not Selective
Glenreagh Public School,-30.053582,152.976339,Not Selective
Glen William Public School,-32.525391,151.79794,Not Selective
Glossodia Public School,-33.530504,150.765471,Not Selective
Gol Gol Public School,-34.179608,142.222652,Not Selective
Goodooga Central School,-29.115865,147.455532,Not Selective
Goolgowi Public School,-33.97571,145.709221,Not Selective
Goolma Public School,-32.3688,149.26901,Not Selective
Goolmangar Public School,-28.709747,153.23169,Not Selective
Gooloogong Public School,-33.617104,148.436422,Not Selective
Goonellabah Public School,-28.818329,153.322306,Not Selective
Goonengerry Public School,-28.609512,153.439753,Not Selective
Gosford Public School,-33.42075,151.33449,Not Selective
Goulburn Public School,-34.750563,149.717773,Not Selective
Goulburn East Public School,-34.7626,149.730388,Not Selective
Goulburn North Public School,-34.744579,149.735043,Not Selective
Goulburn South Public School,-34.76004,149.712314,Not Selective
Grafton Public School,-29.68499,152.933325,Not Selective
South Grafton Public School,-29.709892,152.937126,Not Selective
Granville Public School,-33.834264,151.004671,Not Selective
Granville South Public School,-33.848289,150.995883,Not Selective
Gravesend Public School,-29.585367,150.332417,Not Selective
Greenethorpe Public School,-33.997714,148.400139,Not Selective
Green Hill Public School,-31.059616,152.802757,Not Selective
Green Valley Public School,-33.90074,150.868972,Not Selective
Greenwich Public School,-33.82587,151.183252,Not Selective
Grenfell Public School,-33.892296,148.167544,Not Selective
Gresford Public School,-32.427628,151.538335,Not Selective
Greta Public School,-32.680083,151.38721,Not Selective
Greystanes Public School,-33.828043,150.941111,Not Selective
Griffith Public School,-34.291396,146.036252,Not Selective
Guildford Public School,-33.855821,150.981983,Not Selective
Gulargambone Central School,-31.33224,148.475758,Not Selective
Gulgong Public School,-32.359746,149.537692,Not Selective
Gulmarrad Public School,-29.489242,153.233572,Not Selective
Gum Flat Public School,-29.779563,150.979221,Not Selective
Gundagai Public School,-35.052146,148.109174,Not Selective
Gundagai South Public School,-35.080802,148.103086,Not Selective
Gundaroo Public School,-35.029909,149.267076,Not Selective
Gunnedah Public School,-30.977491,150.256335,Not Selective
Gunning Public School,-34.783525,149.265602,Not Selective
Guyra Central School,-30.222577,151.677369,Not Selective
Gwabegar Public School,-30.611489,148.974999,Not Selective
Gymea Bay Public School,-34.046905,151.082825,Not Selective
Haberfield Public School,-33.879467,151.134002,Not Selective
Hammondville Public School,-33.947273,150.954525,Not Selective
Hampton Public School,-33.648479,150.048925,Not Selective
Hannam Vale Public School,-31.712949,152.594024,Not Selective
Hanwood Public School,-34.329726,146.04237,Not Selective
Harbord Public School,-33.772164,151.286531,Not Selective
Hargraves Public School,-32.783336,149.461924,Not Selective
Harrington Public School,-31.870234,152.688803,Not Selective
Harwood Island Public School,-29.425605,153.240299,Not Selective
Hay Public School,-34.506048,144.84541,Not Selective
Heathcote Public School,-34.086704,151.007321,Not Selective
Helensburgh Public School,-34.184207,150.988393,Not Selective
Henty Public School,-35.517474,147.031248,Not Selective
Hermidale Public School,-31.551165,146.723373,Not Selective
Hernani Public School,-30.294514,152.422727,Not Selective
Herons Creek Public School,-31.580394,152.729988,Not Selective
Hill End Public School,-33.034573,149.415886,Not Selective
Hillside Public School,-33.601784,150.976151,Not Selective
Hillston Central School,-33.479904,145.54026,Not Selective
Hill Top Public School,-34.354826,150.491396,Not Selective
Hinton Public School,-32.716733,151.650674,Not Selective
Holbrook Public School,-35.717853,147.318953,Not Selective
Holgate Public School,-33.405106,151.407722,Not Selective
Holmwood Public School,-33.810597,148.756777,Not Selective
Homebush Public School,-33.867319,151.08523,Not Selective
Telarah Public School,-32.7252,151.532379,Not Selective
Horsley Park Public School,-33.840414,150.852683,Not Selective
Howlong Public School,-35.979939,146.636764,Not Selective
Hoxton Park Public School,-33.931881,150.849626,Not Selective
Humula Public School,-35.483339,147.760583,Not Selective
Hunters Hill Public School,-33.835121,151.151254,Not Selective
Huntingdon Public School,-31.478214,152.660607,Not Selective
Rathmines Public School,-33.042628,151.5899,Not Selective
Hurstville Public School,-33.964695,151.110728,Not Selective
Hurstville South Public School,-33.972516,151.099252,Not Selective
Huskisson Public School,-35.036821,150.668104,Not Selective
Ilford Public School,-32.966702,149.855478,Not Selective
Illabo Public School,-34.814002,147.741165,Not Selective
Iluka Public School,-29.404676,153.348938,Not Selective
Ingleburn Public School,-34.000332,150.866612,Not Selective
Inverell Public School,-29.773135,151.123016,Not Selective
Iona Public School,-32.665063,151.604218,Not Selective
Islington Public School,-32.911412,151.744091,Not Selective
Ivanhoe Central School,-32.898531,144.300978,Not Selective
Fernleigh Public School,-28.76765,153.498399,Not Selective
Jamberoo Public School,-34.644622,150.773003,Not Selective
Jennings Public School,-28.927243,151.934357,Not Selective
Jerangle Public School,-35.871132,149.364268,Not Selective
Jerilderie Public School,-35.354598,145.728865,Not Selective
Jerrys Plains Public School,-32.49723,150.905944,Not Selective
Jesmond Public School,-32.903841,151.695427,Not Selective
Jiggi Public School,-28.677986,153.181368,Not Selective
Jilliby Public School,-33.239937,151.380052,Not Selective
Jindabyne Central School,-36.416703,148.618901,Not Selective
Jindera Public School,-35.959036,146.886741,Not Selective
Johns River Public School,-31.733013,152.696599,Not Selective
Jugiong Public School,-34.820203,148.335447,Not Selective
The Junction Public School,-32.939964,151.758644,Not Selective
Junee Public School,-34.873488,147.584901,Not Selective
Junee North Public School,-34.855049,147.585376,Not Selective
Kandos Public School,-32.856242,149.974813,Not Selective
Kangaloon Public School,-34.552607,150.529555,Not Selective
Kangaroo Valley Public School,-34.73652,150.531996,Not Selective
Kanwal Public School,-33.262456,151.484884,Not Selective
Karangi Public School,-30.252411,153.047767,Not Selective
Karuah Public School,-32.654344,151.966595,Not Selective
Kearsley Public School,-32.857249,151.395921,Not Selective
Kegworth Public School,-33.886514,151.14693,Not Selective
Keiraville Public School,-34.414114,150.873364,Not Selective
Kellys Plains Public School,-30.571911,151.636504,Not Selective
Kellyville Public School,-33.711052,150.957887,Not Selective
Kelso Public School,-33.416969,149.605156,Not Selective
Kempsey East Public School,-31.083703,152.846861,Not Selective
Kempsey West Public School,-31.078377,152.8301,Not Selective
